backbone,direction,source,target,attribute,split_index,k,draw,method,auroc,best_C,n_heldout,coordinate_space
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,0,source_readout,0.6206067572161694,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,0,scratch,0.6036894335529617,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,0,anchored,0.6365635438420403,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,0,target_local,0.7321801492609801,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,1,source_readout,0.6224172076432846,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,1,scratch,0.5476976790619115,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,1,anchored,0.6522882906218128,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,1,target_local,0.7347271912925698,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,2,source_readout,0.6222553193785649,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,2,scratch,0.48429953645993534,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,2,anchored,0.6126472508674513,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,2,target_local,0.7363325832510401,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,3,source_readout,0.6201588663504448,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,3,scratch,0.49282565173517234,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,3,anchored,0.6056833573467592,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,3,target_local,0.73144085951876,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,4,source_readout,0.6218074285128403,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,4,scratch,0.5765164883197617,0.01,1277,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,10,4,anchored,0.6501837431804568,0.01,1277,source-training-image-standardised-patient-mean-coordinates
