backbone,direction,source,target,split_index,attribute,best_C,source_train_n,source_train_positive,source_validation_n,size_capped,evaluation,method,auroc,n,n_negative,n_positive,coordinate_space
vits16,brset_to_mbrset,brset,mbrset,0,sex,0.01,5104,2003,1700,False,source_internal,unaligned,0.7737767791422927,1701,1079,622,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,sex,0.01,5104,2003,1700,False,target_local_cv,target_local,0.7336669661034065,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,sex,0.01,5104,2003,1700,False,target_external,unaligned,0.6202964955270529,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,sex,0.01,5104,2003,1700,False,target_external,mean_variance,0.6116376354774068,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,sex,0.01,5104,2003,1700,False,target_external,coral,0.6127140131078876,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,sex,0.01,5104,2003,1700,False,target_external,subspace,0.5133949216237622,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,sex,0.01,5104,2003,1700,False,target_external,ot_gaussian,0.6118289915006033,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,sex,0.01,5104,2003,1700,False,target_external,ot_entropic,0.5835827162987492,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,sex,0.01,772,266,257,False,source_internal,unaligned,0.6820813280323638,258,177,81,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,sex,0.01,772,266,257,False,target_local_cv,target_local,0.7576909236109522,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,sex,0.01,772,266,257,False,target_external,unaligned,0.5834205759365375,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,sex,0.01,772,266,257,False,target_external,mean_variance,0.589373045792915,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,sex,0.01,772,266,257,False,target_external,coral,0.5807009054405312,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,sex,0.01,772,266,257,False,target_external,subspace,0.5066632073010273,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,sex,0.01,772,266,257,False,target_external,ot_gaussian,0.5908077645994643,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,sex,0.01,772,266,257,False,target_external,ot_entropic,0.5652982880224113,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,0,sex,0.1,772,303,257,True,source_internal,unaligned,0.727850307984349,1701,1079,622,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,0,sex,0.1,772,303,257,True,target_local_cv,target_local,0.7372602069834318,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,0,sex,0.1,772,303,257,True,target_external,unaligned,0.6127724830038643,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,0,sex,0.1,772,303,257,True,target_external,mean_variance,0.5995609442356655,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,0,sex,0.1,772,303,257,True,target_external,coral,0.5982613179114553,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,0,sex,0.1,772,303,257,True,target_external,subspace,0.5014537742317853,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,0,sex,0.1,772,303,257,True,target_external,ot_gaussian,0.5932568263603554,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,0,sex,0.1,772,303,257,True,target_external,ot_entropic,0.5775231088975236,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,age65,0.1,3390,1402,1110,False,source_internal,unaligned,0.9215037678692135,1149,677,472,source-training-image-standardised-patient-mean-coordinates
